,index,age,income,members_in_household,loan_accounts,Savings,Mortgage,Pension,id,nb_products
45,45,39,45716.0,2,3,0,0,0,39240,0
46,46,49,50216.0,2,0,1,0,0,49240,1
47,47,48,53378.0,2,0,1,0,0,56527,1
48,48,44,40996.0,2,0,0,0,0,28397,0
49,49,57,35358.0,5,0,0,0,1,17899,1
50,50,58,42323.0,5,1,0,0,1,32630,1
51,51,42,44023.0,7,0,0,0,0,35583,0
52,52,33,45397.0,7,1,0,0,0,38187,0
53,53,39,36769.0,4,0,0,0,0,19623,0
54,54,43,38010.0,7,0,0,0,0,21416,0
55,55,46,32201.0,5,0,0,0,0,12811,0
56,56,33,32697.0,7,1,0,0,0,13322,0
57,57,38,50592.0,3,0,1,0,0,49448,1
58,58,45,52561.0,4,2,1,0,0,54859,1
59,59,21,23064.0,7,0,0,0,0,1607,0
60,60,30,54766.0,3,0,1,0,0,59240,1
61,61,23,50308.0,2,3,0,0,0,49387,0
62,62,45,45351.0,2,7,0,1,0,37926,1
63,63,47,57006.0,4,1,1,0,0,69249,1
64,64,39,35403.0,2,2,0,0,0,17637,0
65,65,17,28283.0,5,0,0,0,0,5626,0
66,66,56,52828.0,2,0,1,0,0,55370,1
67,67,41,51655.0,7,2,1,1,0,52641,2
68,68,38,46630.0,5,4,0,1,0,41795,1
69,69,34,35297.0,4,0,0,0,0,17024,0
70,70,47,48033.0,2,0,1,0,0,45025,1
71,71,24,27599.0,7,1,0,0,0,5324,0
72,72,84,39118.0,3,0,0,0,1,24658,1
73,73,43,50552.0,5,0,1,0,0,49820,1
74,74,63,39763.0,1,0,0,0,1,25402,1
75,75,41,37866.0,7,0,0,0,0,21404,0
76,76,33,21834.0,2,2,0,0,0,1192,0
77,77,44,38052.0,6,0,0,0,0,22312,0
78,78,59,41016.0,2,2,0,0,0,28259,0
79,79,46,51321.0,6,0,1,0,0,51440,1
80,80,32,50630.0,3,3,0,0,0,49593,0
81,81,23,28288.0,3,1,0,0,0,6330,0
82,82,50,51902.0,1,2,1,0,0,53415,1
83,83,33,45478.0,2,4,0,0,0,38406,0
84,84,33,35069.0,6,0,0,0,0,16395,0
85,85,67,36889.0,3,1,0,0,1,19682,1
86,86,51,34494.0,5,0,0,0,0,15394,0
87,87,61,39029.0,4,0,0,0,0,24646,0
88,88,56,35150.0,1,1,0,0,1,16705,1
89,89,43,38012.0,3,0,0,0,0,21642,0
90,90,40,38751.0,7,3,0,1,0,23926,1
91,91,46,35903.0,7,0,0,0,0,18487,0
92,92,33,33342.0,7,0,0,0,0,14102,0
93,93,37,28708.0,3,0,0,0,0,6633,0
94,94,46,42260.0,4,5,0,1,0,32634,1
95,95,46,28674.0,3,0,0,0,0,6628,0
96,96,44,38245.0,5,2,0,1,0,22766,1
97,97,42,26970.0,4,0,0,0,0,4770,0
98,98,40,45364.0,7,0,0,0,0,38249,0
99,99,19,61817.0,6,0,1,0,0,79547,1
100,100,46,34847.0,5,4,0,1,0,15825,1
101,101,74,19774.0,1,1,0,0,1,663,1
102,102,36,36681.0,4,0,0,0,0,19456,0
103,103,57,70235.0,5,0,1,0,1,101881,2
104,104,45,46630.0,2,1,0,0,0,42142,0
105,105,29,65327.0,4,1,1,0,0,90078,1
106,106,23,44358.0,6,1,0,0,0,36524,0
107,107,64,20479.0,3,1,0,0,1,931,1
108,108,27,46143.0,4,2,0,0,0,40205,0
109,109,37,26969.0,3,0,0,0,0,4890,0
110,110,50,31972.0,3,2,0,0,0,11628,0
111,111,58,52582.0,1,0,0,0,0,54533,0
112,112,38,52478.0,5,3,1,1,0,54382,2
113,113,33,55376.0,6,1,1,0,0,62092,1
114,114,41,29036.0,6,4,0,1,0,6880,1
115,115,47,40216.0,6,3,0,1,0,26677,1
116,116,37,40362.0,4,3,0,1,0,27014,1
117,117,25,55336.0,7,1,0,0,0,61671,0
118,118,47,46208.0,3,1,0,0,0,40533,0
119,119,34,63451.0,5,0,1,0,0,83809,1
120,120,45,38868.0,6,4,0,1,0,24092,1
121,121,21,28164.0,6,2,0,1,0,5549,1
122,122,57,42531.0,6,0,0,0,0,33249,0
123,123,30,51339.0,4,2,0,0,0,51469,0
124,124,19,29936.0,6,0,0,0,0,7521,0
125,125,53,24993.0,4,0,0,0,1,2418,1
126,126,37,54117.0,7,1,0,0,0,57672,0
127,127,32,39384.0,6,2,0,1,0,25159,1
128,128,16,43349.0,3,0,0,0,0,34895,0
129,129,36,39404.0,5,1,0,0,0,25187,0
130,130,38,32037.0,2,1,0,0,0,11654,0
131,131,35,38244.0,6,0,0,0,0,22592,0
132,132,35,32524.0,3,1,0,0,0,13252,0
133,133,40,70904.0,3,3,0,1,0,104959,1
134,134,36,28560.0,2,0,0,0,0,6566,0
135,135,40,42341.0,2,0,0,0,0,32597,0
136,136,45,26896.0,4,1,0,0,0,4085,0
137,137,42,41279.0,7,0,0,0,0,30444,0
138,138,19,45301.0,3,1,0,0,0,37739,0
139,139,36,55342.0,7,1,1,0,0,61690,1
140,140,45,50232.0,7,3,1,1,0,49337,2
141,141,39,52632.0,7,4,0,1,0,54848,1
142,142,39,44433.0,5,0,0,0,0,36111,0
143,143,67,50240.0,4,0,0,0,1,49309,1
144,144,37,32357.0,2,3,0,0,0,13007,0
145,145,38,49050.0,2,0,1,0,0,47464,1
146,146,46,41268.0,6,0,0,0,0,30102,0
147,147,38,54573.0,2,0,1,0,0,59043,1
148,148,54,50766.0,4,0,1,0,0,49983,1
149,149,16,41392.0,5,0,0,0,0,30584,0
150,150,30,43097.0,4,0,0,0,0,34658,0
151,151,40,53176.0,7,0,1,0,0,55930,1
152,152,47,55329.0,4,1,1,0,0,61594,1
153,153,39,55001.0,4,3,1,1,0,60103,2
154,154,40,29681.0,5,0,0,0,0,7200,0
155,155,51,43768.0,6,0,0,0,0,35314,0
156,156,57,31474.0,4,1,0,0,1,10105,1
157,157,30,47414.0,7,3,0,1,0,43725,1
158,158,27,47984.0,7,1,0,0,0,45474,0
159,159,45,50710.0,7,1,1,0,0,49824,1
160,160,38,38501.0,3,1,0,0,0,23644,0
161,161,24,49185.0,3,0,0,0,0,47771,0
162,162,50,28289.0,4,2,0,0,0,5956,0
163,163,36,33328.0,6,1,0,0,0,13964,0
164,164,33,38158.0,3,0,0,0,0,23170,0
165,165,35,39841.0,6,1,0,0,0,25352,0
166,166,29,32682.0,5,0,0,0,0,13338,0
167,167,69,48055.0,6,3,0,1,1,45783,2
168,168,29,25124.0,2,0,0,0,0,2605,0
169,169,59,48706.0,1,2,1,0,1,47278,2
170,170,14,39234.0,3,0,0,0,0,24694,0
171,171,35,50245.0,3,0,1,0,0,49293,1
172,172,32,21029.0,6,0,0,0,0,1071,0
173,173,34,50470.0,4,1,0,0,0,49418,0
174,174,64,46131.0,3,0,0,0,0,40360,0
175,175,33,43216.0,5,4,0,1,0,34737,1
176,176,53,35118.0,5,1,0,0,0,16695,0
177,177,36,54449.0,3,0,1,0,0,58456,1
178,178,43,51929.0,6,2,1,1,0,53226,2
179,179,46,46205.0,4,1,0,0,0,40524,0
180,180,40,55330.0,4,2,1,0,0,60877,1
181,181,33,38461.0,7,1,0,0,0,23778,0
182,182,63,23562.0,2,0,0,0,1,1893,1
183,183,18,42436.0,2,1,0,0,0,32988,0
184,184,26,59102.0,3,3,1,0,0,73798,1
185,185,69,44408.0,1,0,0,0,1,36208,1
186,186,39,37468.0,4,1,0,0,0,20776,0
187,187,52,51676.0,4,0,1,0,0,52777,1
188,188,34,50940.0,6,0,0,0,0,50676,0
189,189,29,37492.0,6,0,0,0,0,20570,0
190,190,34,50226.0,7,0,0,0,0,49188,0
191,191,43,31962.0,3,5,0,1,0,11395,1
192,192,30,37502.0,4,0,0,0,0,20631,0
193,193,46,61968.0,7,5,1,1,0,80240,2
194,194,34,55346.0,3,0,1,0,0,61458,1
195,195,43,36444.0,6,0,0,0,0,19214,0
196,196,40,48070.0,7,1,1,0,0,45843,1
197,197,37,56562.0,7,2,1,1,0,67667,2
198,198,20,54919.0,7,0,1,0,0,59723,1
199,199,36,45721.0,6,0,0,0,0,39296,0
200,200,41,54860.0,7,1,1,0,0,59897,1
201,201,86,25112.0,6,1,0,0,1,2487,1
202,202,43,37993.0,5,0,0,0,0,21588,0
203,203,45,39847.0,7,0,0,0,0,25455,0
204,204,29,54044.0,3,2,1,0,0,57586,1
205,205,26,48537.0,4,1,0,0,0,46404,0
206,206,42,33339.0,6,0,0,0,0,14095,0
207,207,24,40910.0,3,4,0,1,0,27800,1
208,208,42,69682.0,7,2,1,1,0,100914,2
209,209,36,55077.0,2,0,1,0,0,60385,1
210,210,24,31868.0,3,3,0,0,0,10552,0
211,211,18,46611.0,2,3,0,0,0,41878,0
212,212,44,55278.0,5,0,1,0,0,60929,1
213,213,52,41287.0,4,2,0,0,0,30226,0
214,214,57,65214.0,3,0,1,0,1,89697,2
215,215,47,39622.0,5,0,0,0,0,25301,0
216,216,35,55284.0,3,0,1,0,0,61538,1
217,217,22,46523.0,3,1,0,0,0,40837,0
218,218,59,55954.0,3,1,1,0,0,64637,1
219,219,48,48050.0,5,0,1,0,0,45480,1
220,220,38,53622.0,7,0,1,0,0,56837,1
221,221,35,41270.0,7,0,0,0,0,30386,0
222,222,55,70156.0,3,1,1,0,1,101794,2
223,223,34,48581.0,4,2,0,0,0,46960,0
224,224,51,64731.0,1,2,1,0,0,86462,1
225,225,70,31933.0,6,0,0,0,1,10798,1
226,226,36,30830.0,2,3,0,0,0,8678,0
227,227,31,55915.0,3,0,0,0,1,64224,1
228,228,33,46603.0,2,4,0,0,0,41191,0
229,229,32,52411.0,3,1,0,0,0,54022,0
230,230,50,28289.0,4,2,0,0,0,5956,0
231,231,41,33903.0,5,3,0,1,0,14913,1
232,232,41,53992.0,7,0,1,0,0,57592,1
233,233,24,47413.0,7,4,0,1,0,43719,1
234,234,50,55499.0,6,2,1,0,0,62560,1
235,235,41,46590.0,2,0,0,0,0,41569,0
236,236,36,31706.0,2,4,0,0,0,10470,0
237,237,25,55273.0,3,1,1,0,0,61402,1
238,238,79,31329.0,4,0,0,0,1,9615,1
239,239,24,56622.0,4,1,1,0,0,67345,1
240,240,44,54953.0,4,1,1,0,0,60298,1
241,241,45,54862.0,7,7,1,1,0,59695,2
242,242,40,34698.0,3,0,0,0,0,15451,0
243,243,45,42224.0,7,0,0,0,0,32509,0
244,244,49,28322.0,6,3,0,1,0,5711,1
245,245,38,46526.0,4,0,0,0,0,40627,0
246,246,34,50510.0,3,0,0,0,0,49424,0
247,247,30,31043.0,6,0,0,0,0,8863,0
248,248,32,33962.0,5,0,0,0,0,15113,0
249,249,43,33647.0,7,0,0,0,0,14238,0
250,250,21,50083.0,6,1,0,0,0,49105,0
251,251,43,29739.0,4,3,0,1,0,7289,1
252,252,46,38498.0,3,3,0,0,0,23546,0
253,253,38,48612.0,7,0,1,0,0,47070,1
254,254,17,50905.0,4,3,0,1,0,50337,1
255,255,38,39274.0,7,0,0,0,0,24914,0
256,256,28,41548.0,4,0,0,0,0,30646,0
257,257,54,28258.0,3,2,0,0,0,6416,0
258,258,59,54598.0,2,0,1,0,0,59034,1
259,259,29,35853.0,7,1,0,0,0,18463,0
260,260,34,39832.0,2,4,0,0,0,25630,0
261,261,32,51509.0,5,0,0,0,0,52155,0
262,262,59,42666.0,5,1,0,0,1,34429,1
263,263,39,55284.0,3,1,1,0,0,61536,1
264,264,26,53713.0,2,0,1,0,0,56962,1
265,265,38,52574.0,2,0,1,0,0,54658,1
266,266,38,55505.0,5,2,0,0,0,62349,0
267,267,43,48041.0,6,0,1,0,0,45630,1
268,268,48,46024.0,5,0,0,0,0,40063,0
269,269,33,30117.0,5,0,0,0,0,8158,0
270,270,28,50141.0,3,0,1,0,0,48833,1
271,271,34,43760.0,6,0,0,0,0,35479,0
272,272,40,48035.0,3,1,1,0,0,45170,1
273,273,25,35375.0,5,2,0,0,0,18046,0
274,274,40,54913.0,2,0,1,0,0,60061,1
275,275,19,71457.0,3,0,1,0,0,107860,1
276,276,17,54911.0,3,0,1,0,0,60067,1
277,277,23,44449.0,5,2,0,0,0,36050,0
278,278,20,45957.0,2,0,0,0,0,40169,0
279,279,27,40034.0,7,0,0,0,0,26486,0
280,280,34,48518.0,6,0,0,0,0,46414,0
281,281,43,35845.0,2,0,0,0,0,18229,0
282,282,32,47204.0,3,0,0,0,0,43347,0
283,283,49,38142.0,5,2,0,0,0,22420,0
284,284,45,38152.0,3,0,0,0,0,22557,0
285,285,47,26963.0,3,1,0,0,0,4903,0
286,286,79,52529.0,5,1,0,0,1,54155,1
287,287,41,40740.0,5,1,0,0,0,27341,0
288,288,30,32396.0,6,0,0,0,0,12953,0
289,289,22,44416.0,5,2,0,0,0,36253,0
290,290,30,33143.0,6,1,0,0,0,13762,0
291,291,47,53424.0,3,1,1,0,0,56548,1
292,292,47,31851.0,2,4,0,0,0,11005,0
293,293,34,30033.0,4,1,0,0,0,7704,0
294,294,27,52740.0,2,0,0,0,0,55190,0
295,295,24,50054.0,6,0,0,0,0,49028,0
296,296,41,48333.0,5,0,1,0,0,46049,1
297,297,40,51031.0,4,0,1,0,0,50961,1
298,298,47,17790.0,7,0,0,0,0,260,0
299,299,36,30507.0,4,1,0,0,0,8406,0
300,300,51,50862.0,3,0,1,0,0,50491,1
301,301,37,55535.0,3,1,0,0,0,62553,0
302,302,19,48668.0,2,0,0,0,0,47264,0
303,303,47,45978.0,7,1,0,0,0,39982,0
304,304,45,36348.0,6,1,0,0,0,19071,0
305,305,36,38710.0,3,1,0,0,0,23817,0
306,306,81,35273.0,1,0,0,0,1,17184,1
307,307,52,54381.0,1,2,1,0,1,58377,2
308,308,44,36655.0,4,1,0,0,0,19452,0
309,309,27,30367.0,6,2,0,1,0,8355,1
310,310,40,47972.0,3,1,0,0,0,44585,0
311,311,34,54083.0,5,5,1,1,0,57742,2
312,312,32,42005.0,3,2,0,0,0,31879,0
313,313,56,48589.0,5,2,1,0,1,46990,2
314,314,52,44364.0,5,2,0,0,0,36048,0
315,315,35,28614.0,5,3,0,1,0,6562,1
316,316,35,30387.0,3,3,0,0,0,8383,0
317,317,40,23100.0,6,1,0,0,0,1680,0
318,318,34,26984.0,4,0,0,0,0,4723,0
319,319,35,53590.0,2,1,1,0,0,56924,1
320,320,43,41102.0,6,0,0,0,0,29925,0
321,321,48,45410.0,4,0,0,0,0,38064,0
322,322,41,51921.0,4,1,1,0,0,53523,1
323,323,33,44077.0,4,0,0,0,0,35757,0
324,324,31,55078.0,7,4,1,1,0,60518,2
325,325,15,42722.0,4,1,0,0,0,34103,0
326,326,23,53566.0,4,1,1,0,0,56807,1
327,327,49,32917.0,3,0,0,0,0,13581,0
328,328,19,45989.0,4,0,0,0,0,39872,0
329,329,50,42383.0,5,3,0,1,0,33032,1
330,330,26,35864.0,4,1,0,0,0,18354,0
331,331,22,39410.0,7,1,0,0,0,25181,0
332,332,30,41242.0,6,0,0,0,0,30084,0
333,333,40,28531.0,4,4,0,1,0,6494,1
334,334,42,26324.0,5,0,0,0,0,3807,0
335,335,57,40994.0,2,0,0,0,0,28103,0
336,336,34,67065.0,5,1,1,0,0,93496,1
337,337,33,35130.0,2,3,0,0,0,16484,0
338,338,24,37549.0,6,4,0,1,0,20425,1
339,339,31,54027.0,3,1,1,0,0,57107,1
340,340,34,29698.0,6,1,0,0,0,7232,0
341,341,44,18793.0,7,1,0,0,0,607,0
342,342,52,47968.0,4,4,1,1,0,44342,2
343,343,51,42705.0,2,1,0,0,0,34314,0
344,344,66,48301.0,5,0,0,0,1,46151,1
345,345,24,32153.0,6,1,0,0,0,11966,0
346,346,45,50905.0,4,3,1,1,0,50336,2
347,347,18,34959.0,6,3,0,1,0,16312,1
348,348,58,37503.0,2,0,0,0,0,20624,0
349,349,51,45402.0,3,5,0,1,0,37901,1
350,350,34,46072.0,7,1,0,0,0,40191,0
351,351,55,54374.0,5,0,1,0,1,58335,2
352,352,37,37515.0,2,0,0,0,0,20842,0
353,353,31,27870.0,7,4,0,1,0,5448,1
354,354,35,35444.0,3,0,0,0,0,17849,0
355,355,28,35040.0,3,0,0,0,0,16257,0
356,356,40,52196.0,3,0,1,0,0,53706,1
357,357,30,54345.0,6,0,1,0,0,57929,1
358,358,33,26080.0,7,1,0,0,0,3340,0
359,359,37,49032.0,4,5,0,1,0,47454,1
360,360,12,37904.0,7,1,0,0,0,21081,0
361,361,41,45437.0,7,0,0,0,0,38178,0
362,362,27,26150.0,6,0,0,0,0,3292,0
363,363,58,27290.0,2,1,0,0,0,5227,0
364,364,24,42049.0,7,4,0,1,0,31483,1
365,365,35,38165.0,2,0,0,0,0,22994,0
366,366,33,33919.0,4,1,0,0,0,14769,0
367,367,54,62772.0,2,4,1,0,0,82840,1
368,368,32,54049.0,7,0,1,0,0,57124,1
369,369,35,48037.0,7,0,1,0,0,44712,1
370,370,40,55352.0,5,0,1,0,0,62127,1
371,371,44,17751.0,4,0,0,0,0,340,0
372,372,26,55519.0,4,0,0,0,0,62171,0
373,373,56,48395.0,6,4,1,1,0,46225,2
374,374,29,48242.0,5,0,0,0,0,46036,0
375,375,61,54186.0,2,0,0,0,0,57783,0
376,376,28,45699.0,5,5,0,1,0,39368,1
377,377,36,38859.0,5,1,0,0,0,24309,0
378,378,43,54361.0,3,2,1,0,0,58533,1
379,379,42,39801.0,3,1,0,0,0,25654,0
380,380,53,53959.0,4,1,1,0,0,57642,1
381,381,36,47987.0,6,2,0,1,0,45103,1
382,382,38,50799.0,6,2,1,1,0,49975,2
383,383,30,35884.0,3,2,0,0,0,18731,0
384,384,20,29045.0,7,0,0,0,0,6847,0
385,385,20,63812.0,3,1,1,0,0,84049,1
386,386,31,44425.0,2,1,0,0,0,36289,0
387,387,50,40752.0,2,1,0,0,0,27498,0
388,388,29,44375.0,7,2,0,1,0,36052,1
389,389,55,55405.0,6,1,1,0,1,62091,2
390,390,30,35091.0,4,0,0,0,0,16591,0
391,391,26,31919.0,2,1,0,0,0,10700,0
392,392,45,52531.0,3,0,1,0,0,54360,1
393,393,45,46581.0,7,0,0,0,0,42354,0
394,394,41,26938.0,6,7,0,1,0,4066,1
395,395,27,45674.0,5,0,0,0,0,39039,0
396,396,27,44449.0,5,0,0,0,0,36338,0
397,397,46,25364.0,6,1,0,0,0,2755,0
398,398,61,44416.0,4,0,0,0,0,35874,0
399,399,25,40987.0,2,0,0,0,0,28242,0
400,400,52,28329.0,4,1,0,0,0,5855,0
401,401,56,30141.0,3,2,0,0,0,8099,0
402,402,21,38542.0,4,0,0,0,0,23640,0
403,403,50,29684.0,6,0,0,0,0,7169,0
404,404,37,28252.0,2,0,0,0,0,6424,0
405,405,45,55377.0,1,0,1,0,0,61965,1
406,406,39,55065.0,3,1,1,0,0,60382,1
407,407,20,41059.0,4,0,0,0,0,29396,0
408,408,53,50643.0,2,1,1,0,0,49803,1
409,409,39,56986.0,2,0,1,0,0,69086,1
410,410,45,38115.0,6,1,0,0,0,22139,0
411,411,27,40704.0,4,7,0,1,0,27370,1
412,412,39,42426.0,5,1,0,0,0,32803,0
413,413,36,55535.0,5,0,0,0,0,62155,0
414,414,33,36265.0,7,3,0,1,0,19054,1
415,415,37,43804.0,4,1,0,0,0,35318,0
416,416,34,37861.0,2,1,0,0,0,21119,0
417,417,45,54996.0,2,1,1,0,0,60134,1
418,418,71,55483.0,2,2,0,0,1,62500,1
419,419,40,42352.0,5,4,0,1,0,33041,1
420,420,56,48107.0,1,1,1,0,0,45838,1
421,421,35,45468.0,5,1,0,0,0,38404,0
422,422,33,45385.0,6,0,0,0,0,38106,0
423,423,50,27040.0,4,4,0,1,0,4393,1
424,424,44,35367.0,7,0,0,0,0,17701,0
425,425,40,54066.0,7,4,1,1,0,57703,2
426,426,37,32093.0,2,0,0,0,0,11900,0
427,427,49,27030.0,2,0,0,0,0,4885,0
428,428,33,55341.0,6,0,1,0,0,61491,1
429,429,30,38461.0,5,1,0,0,0,23551,0
430,430,36,45884.0,6,1,0,0,0,39713,0
431,431,44,55258.0,7,3,1,1,0,60893,2
432,432,37,55573.0,5,1,0,0,0,62909,0
433,433,55,42246.0,1,0,0,0,1,32261,1
434,434,51,54402.0,4,0,1,0,0,58576,1
435,435,29,52690.0,2,0,0,0,0,55267,0
436,436,34,35375.0,7,0,0,0,0,17789,0
437,437,34,41625.0,7,1,0,0,0,30932,0
438,438,32,35391.0,6,1,0,0,0,17635,0
439,439,36,39347.0,6,0,0,0,0,25002,0
440,440,35,35370.0,6,0,0,0,0,17952,0
441,441,35,46469.0,5,1,0,0,0,40860,0
442,442,72,39869.0,4,1,0,0,1,25780,1
443,443,44,45426.0,4,0,0,0,0,37885,0
444,444,51,36744.0,4,0,0,0,0,19500,0
445,445,35,29920.0,3,2,0,0,0,7477,0
446,446,42,46154.0,2,2,0,0,0,40493,0
447,447,39,35435.0,5,0,0,0,0,17574,0
448,448,41,48981.0,4,2,1,0,0,47407,1
449,449,36,23097.0,3,1,0,0,0,1655,0
450,450,46,42744.0,7,0,0,0,0,33968,0
451,451,43,47951.0,4,0,1,0,0,44373,1
452,452,17,47981.0,7,0,1,0,0,45174,1
453,453,30,26983.0,4,0,0,0,0,4670,0
454,454,26,22488.0,5,0,0,0,0,1342,0
455,455,32,53215.0,4,0,1,0,0,56134,1
456,456,49,48525.0,4,0,1,0,0,46468,1
457,457,47,23471.0,4,5,0,1,0,1817,1
458,458,45,44392.0,5,0,0,0,0,35943,0
459,459,41,26095.0,2,0,0,0,0,3362,0
460,460,29,49864.0,5,0,1,0,0,48494,1
461,461,40,37991.0,2,0,0,0,0,21866,0
462,462,82,37944.0,3,1,0,0,0,21327,0
463,463,39,55065.0,3,1,1,0,0,60382,1
464,464,33,27013.0,2,0,0,0,0,4331,0
465,465,36,52378.0,4,2,0,0,0,53921,0
466,466,39,46581.0,3,1,0,0,0,41247,0
467,467,45,55618.0,3,0,1,0,0,62925,1
468,468,20,30149.0,2,3,0,0,0,8105,0
469,469,47,49515.0,4,2,1,0,0,48007,1
470,470,46,53432.0,2,3,1,0,0,56624,1
471,471,34,69213.0,7,1,1,0,0,98078,1
472,472,38,54139.0,2,5,0,0,0,57685,0
473,473,26,50922.0,5,0,0,0,0,50469,0
474,474,36,51746.0,3,0,0,0,0,52924,0
475,475,30,51336.0,7,1,0,0,0,51510,0
476,476,37,35890.0,6,0,0,0,0,18559,0
477,477,14,38923.0,2,0,0,0,0,24257,0
478,478,39,51070.0,7,1,1,0,0,51299,1
479,479,29,38436.0,4,0,0,0,0,23275,0
480,480,43,50985.0,2,4,1,0,0,50892,1
481,481,35,45683.0,2,2,0,0,0,39243,0
482,482,31,46142.0,7,1,0,0,0,40174,0
483,483,50,50873.0,6,1,1,0,0,50445,1
484,484,40,40008.0,5,3,0,1,0,26501,1
485,485,44,42683.0,7,0,0,0,0,34114,0
486,486,37,53230.0,5,1,1,0,0,55704,1
487,487,86,40312.0,1,2,0,0,1,26893,1
488,488,22,43341.0,7,4,0,1,0,35063,1
489,489,18,45512.0,3,1,0,0,0,38730,0
490,490,35,31965.0,5,0,0,0,0,11557,0
491,491,35,39821.0,4,0,0,0,0,25611,0
492,492,34,48041.0,5,2,0,0,0,45506,0
493,493,30,41150.0,2,0,0,0,0,29539,0
494,494,35,47229.0,5,3,0,1,0,43320,1
495,495,40,29743.0,2,1,0,0,0,7182,0
496,496,53,30138.0,3,1,0,0,0,8080,0
497,497,46,48558.0,5,1,1,0,0,47082,1
498,498,24,44383.0,4,1,0,0,0,36095,0
499,499,33,38096.0,4,1,0,0,0,22320,0
500,500,41,23856.0,3,3,0,0,0,2010,0
501,501,44,52721.0,7,0,1,0,0,55271,1
502,502,54,41365.0,5,1,1,0,1,30589,2
503,503,49,46561.0,3,0,0,0,0,42482,0
504,504,47,51536.0,3,0,1,0,0,52544,1
505,505,56,28279.0,3,1,0,0,0,5969,0
506,506,52,39886.0,2,2,0,0,0,25778,0
507,507,37,27027.0,3,0,0,0,0,4302,0
508,508,54,64729.0,5,1,1,0,0,86597,1
509,509,32,41319.0,2,3,0,0,0,30196,0
510,510,18,34778.0,5,0,0,0,0,15735,0
511,511,34,43747.0,4,2,0,0,0,35174,0
512,512,40,46019.0,4,1,0,0,0,40146,0
513,513,30,47981.0,7,0,0,0,0,45181,0
514,514,31,33632.0,4,0,0,0,0,14255,0
515,515,49,28338.0,1,0,0,0,0,5762,0
516,516,38,45885.0,3,0,0,0,0,39675,0
517,517,20,53179.0,7,1,1,0,0,56114,1
518,518,44,26189.0,6,1,0,0,0,3561,0
519,519,44,29814.0,4,0,0,0,0,7402,0
520,520,36,28636.0,5,1,0,0,0,6610,0
521,521,31,31934.0,7,0,0,0,0,10979,0
522,522,44,65102.0,4,0,1,0,0,88919,1
523,523,43,38783.0,5,0,0,0,0,23920,0
524,524,48,34847.0,4,0,0,0,0,15826,0
525,525,41,43321.0,6,1,0,0,0,34840,0
526,526,45,36882.0,4,1,0,0,0,19691,0
527,527,25,43764.0,6,2,0,0,0,35372,0
528,528,41,38392.0,3,0,0,0,0,23291,0
529,529,40,26991.0,3,2,0,0,0,4411,0
530,530,65,55607.0,2,1,0,0,0,62701,0
531,531,37,34585.0,7,0,0,0,0,15414,0
532,532,40,41771.0,6,2,0,1,0,31051,1
533,533,26,38944.0,2,1,0,0,0,24079,0
534,534,40,46109.0,6,1,0,0,0,40264,0
